index,label,text
505,1,you promised to deliver the phone before mothers day. where is it?
345,1,i have doubt that my item will be late
1879,7,where is same-day delivery available
2079,9,when does your store open?
394,1,my order has a status of pending. when will it ship?
2000,9,what time does the store open during the week?
862,3,can you please tell me what is going on with my order?
1753,2,i ordered the wrong amount of products and need to add more items to my order.
212,0,charged for canceled order
1407,4,i need medium pump shoes in a size 9
262,0,how do i cancel an order ive made?
2132,9,what is the schedule of your new york stores?
1518,4,when are they suppose be available
773,2,refresh my cart
1122,3,i still have not received my device
327,1,can you tell me when my pending order will ship?
2226,9,how late are you open today?
1460,4,can you check the availability of the mobile phone iwant at your stores?
1438,4,yes i just wanna know when is the lg v30 gonna be available in stores
481,1,do you know when my order will ship?
1959,8,i want to know how many stores do you have in new york?
426,1,why havent i gottten my order by now?
1041,3,hello i need some help. i ordered a apple watch on saturday october 14 and the representative informed me i would sign a disclosure on line which i did . it sent me an email afterwards confirming my signature and it set i could review my order now i have no confirmation and i can not see my order at all. i would like to know the status please
2225,9,what are your store hours on memorial day?
1909,8,do you know how many stores in new york?
175,0,this order isnt going to work for me anymore
1856,7,how do i place an order for same day delivery?
1538,4,i would like to buy your item
1270,4,is this match for me?
1004,3,when will this ship
66,0,why the hell did you charge me for a canceled order?
564,2,i just placed an order and need to modify it
2121,9,are any of your locations open later than others?
890,3,no issue i need track other phone
547,2,i ordered a pair of trainers
371,1,i placed an order but while my order has been processed
1667,6,ive place my order but would like to change the shipping address.
978,3,how long would it take for me to receive my order
779,3,i want to track my order
928,3,when will my package come?
186,0,is there a re-stocking fee if i cancel?
1964,8,closest store to my location
1954,8,i want to know your store in san francisco?
1622,5,would you please tell me how i would find reviews for this dress
1307,4,what new sneakers do you have?
990,3,where do i go to check the status of my shipment?
1699,6,i am not available at the venue in order
61,0,how can i get a confirmation that my order was cancelled?
359,1,i placed an order several days ago
1486,4,okay one more crazy question....what phones do we have? is there still a galaxy?
305,1,this is the third time ive called about the phone i ordered three weeks ago. its still not here! check my order status and find out if its ever going to arrive!
1501,4,do you know when my phone will be in stock again?
605,2,i would like to order a second phone to the plan i jyst purchased. how can you help me?
102,0,charge for cancelling order?
909,3,what is the problem with my order?
273,0,what do i need to do to cancel?
1046,3,hi when will i receive my new iphone 8? i placed an order and the order is 7101472610
361,1,i need to know the current status of my order
236,0,i decided against using your company and i would like to cancel my order. what is your policy?
472,1,so in still waiting for the iphone 8 plus gold
1807,7,if i pay for this now can it be send to me today?
1005,3,shipping date please?
687,2,could you deduct the suit from my cart?
2084,9,what are the timings of your new york stores?
159,0,is it possible to cancel my purchase?
1224,4,hi is true that nike+ watch is in stock?
225,0,if i cancel my order right now
2034,9,what are the daily hours to the pantene stores?
260,0,how do i go about cancelling an order that i placed?
1416,4,"i am shopping for next season, do you have any skirts in for the fall line yet"
1743,6,i need to change the shipping address on an existing order
1441,4,do you know when you are expecting a restock on the new phone?
1129,3,i want to know about the expected delivery date of my order placed with you.
756,2,i want to change the color of the item i ordered from black to white.
622,2,i just bought [name of product] from you guys and i was wondering if it was possible for me to add another set to my order
1263,4,i would like to see the bras you sell.
2208,9,what are the normal store hours?
1457,4,okay. is the watch available in stores?
1558,5,how many reviews of the air force 1. ?
1711,6,i have accidentally shipped my product to wrong address.
1824,7,what methods of delivery do you offer?
246,0,how long do i have to cancel and still get a refund?
835,3,i want to make sure someone is home when the order arrives. can you give me a delivery date?
1320,4,how can i see specific categories of clothing
1890,8,can i get directions to your store in cleveland?
1161,3,i ordered the new iphone 8 plus yesterday with overnight shipping. could you check if it will be delivered today?
571,2,i placed an order for services yesterday
637,2,is there still time to customize my order?
712,2,i want to update my cart items .
208,0,will i be refunded if i cancel?
1974,8,how many locations do you have throughout the united states?
54,0,kindly let me know what your order cancellation policy is.
1989,9,what time do your stores open in the morning.
1799,7,does it cost extra for same day delivery?
1504,4,when do you anticipate having that phone available?
1546,5,best handbag reviews?
2023,9,what is your operating schedule?
570,2,i just placed an order
850,3,is my order still in transit?
250,0,i got the wrong proudct . how can i cancel it?
2118,9,how early do your stores open in the morning?
1430,4,when will the item be in stock?
1101,3,whats the expected delivery date of my order?
124,0,just place a cancellation request
504,1,how long will it be before my order will be shipped?
1218,4,dresses please.
635,2,id like to change something in my order. is that possible?
1562,5,"i need to find all the reviews for these pants, where do i go?"
2128,9,do your stores in pittsburgh open by 9 o'clock?
879,3,i have purchased multiple handsets. can i track the status of all of my orders at the same time?
1896,8,where is your portland store located
166,0,can you please cancel my order since it hasnt arrived yet?
1611,5,reviews by peoples
116,0,so i need to talk to somone to cancel
1555,5,customer feedback for watch
266,0,how do i cancel an order i placed for store pickup?
1025,3,please let me know how i can track my order?
1668,6,please help me to change shipping address. my order has already been placed.
425,1,how come i never got my order?
1881,7,what available plans are there?
809,3,i recently placed an order with your company and need to know the delivery date of my order.
334,1,i havent received my order yet. do you have tracking information?
754,2,modify my order
531,2,change order to only one
1814,7,do you ship on weekends?
398,1,my order has been processed and i was wondering how long it will be before it ships?
1056,3,"i had a request two days ago . i want to know some status about it , if you can check it for me, thank you"
1747,6,my shipping address is wrong.
49,0,when the cancellation take effect?
510,1,hello i am trying to track my device that was supposed to be delivered today at the latest. via ups mail next day delivery yet i do not have it in the mail has already been delivered
2065,9,what are your store hours today?
2026,9,what time do you open today?
736,2,can i modify an order?
1789,7,is there a same day option for this order if i pay extra?
1459,4,you ran out of the item that i wish to buy. do you have any available in store?
1201,4,can you show me women's hoes in size 7
1703,6,can i change the address i have the package shipped to?
477,1,"what i'm confused about is that i pre-ordered the device the day that it was released, which is nearly a month ago, and now the current shipping date is anywhere from the start of november, to the end."
1103,3,whats the status of the order?
1831,7,what are the delivery charges for fast track delivery
1054,3,how is my order status
1873,7,can you please provide details about your most inexpensive expenditures for shipping?
503,1,how long will it take for my order to be shipped once it has been processed?
1940,8,what is the address of your store?
76,0,the order is so late to arrive. please cancel it
912,3,replacement phone ordered where is it
722,2,remove nike from cart
1144,3,and how can i track my order for my new apple watch
152,0,is there a cancellation fee for cancelling orders?
699,2,how to change the quantity in my cart
925,3,when will order arrive?
567,2,would you be able to help me modify the order i just place?
1099,3,when will my phone arrive
1821,7,what are your delivery plans?
1669,6,is it ok if i use another address?
1750,6,i want to receive my bill into my po box address. how can i change it
